client_id,birth_number,district_id,account_id,frequency,date,order_id,bank_to,account_to,amount,k_symbol,loan_id,date,amount_1,Nduration,payments,status,trans_id,date_1,type,operation,amount_2,balance,k_symbol_1,bank,account,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,disp_id,type_1,card_id,type_2,issued
2,450204,1,2,POPLATEK MESICNE,930226,29402,ST,89597016,3372.7,UVER,4959,940105,80952,24,3373,A,276,930226,PRIJEM,VKLAD,1100,1100,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29402,ST,89597016,3372.7,UVER,4959,940105,80952,24,3373,A,279,930312,PRIJEM,PREVOD Z UCTU,20236,21336,,ST,66487163,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29402,ST,89597016,3372.7,UVER,4959,940105,80952,24,3373,A,697,930328,PRIJEM,VKLAD,3700,25036,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29402,ST,89597016,3372.7,UVER,4959,940105,80952,24,3373,A,3530483,930331,PRIJEM,,13.5,25049.5,UROK,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29403,QR,13943797,7266,SIPO,4959,940105,80952,24,3373,A,276,930226,PRIJEM,VKLAD,1100,1100,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29403,QR,13943797,7266,SIPO,4959,940105,80952,24,3373,A,279,930312,PRIJEM,PREVOD Z UCTU,20236,21336,,ST,66487163,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29403,QR,13943797,7266,SIPO,4959,940105,80952,24,3373,A,697,930328,PRIJEM,VKLAD,3700,25036,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29403,QR,13943797,7266,SIPO,4959,940105,80952,24,3373,A,3530483,930331,PRIJEM,,13.5,25049.5,UROK,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29402,ST,89597016,3372.7,UVER,4959,940105,80952,24,3373,A,280,930412,PRIJEM,PREVOD Z UCTU,20236,45285.5,,ST,66487163,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29403,QR,13943797,7266,SIPO,4959,940105,80952,24,3373,A,280,930412,PRIJEM,PREVOD Z UCTU,20236,45285.5,,ST,66487163,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
2,450204,1,2,POPLATEK MESICNE,930226,29402,ST,89597016,3372.7,UVER,4959,940105,80952,24,3373,A,698,930427,VYDAJ,VYBER,11000,34285.5,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,2,OWNER,,,
